TIME,POSITION,VELOCITY
0.155,-0.257253,-6.20919,5,1
0.156,-0.26346,-6.20674,5,1
0.157,-0.269664,-6.20409,5,1
0.158,-0.275865,-6.20151,5,1
0.159,-0.282064,-6.19875,5,1
0.16,-0.28826,-6.19605,5,1
0.161,-0.294453,-6.19318,5,1
0.162,-0.300644,-6.19035,5,1
0.163,-0.306831,-6.18738,5,1
0.164,-0.313015,-6.18442,5,1
0.165,-0.319197,-6.18134,5,1
0.166,-0.325375,-6.17826,5,1
0.167,-0.33155,-6.17507,5,1
0.168,-0.337722,-6.17187,5,1
0.169,-0.343891,-6.16858,5,1
0.17,-0.350056,-6.16526,5,1
0.171,-0.356218,-6.16185,5,1
0.172,-0.362376,-6.15842,5,1
0.173,-0.368531,-6.1549,5,1
0.174,-0.374682,-6.15135,5,1
0.175,-0.38083,-6.14772,5,1
0.176,-0.386974,-6.14406,5,1
0.177,-0.393114,-6.14032,5,1
0.178,-0.399251,-6.13654,5,1
0.179,-0.405384,-6.1327,5,1
0.18,-0.411513,-6.12881,5,1
0.181,-0.417637,-6.12485,5,1
0.182,-0.423758,-6.12085,5,1
0.183,-0.429875,-6.11679,5,1
0.184,-0.435988,-6.11268,5,1
0.185,-0.442096,-6.10851,5,1
0.186,-0.4482,-6.10429,5,1
0.187,-0.4543,-6.10001,5,1
0.188,-0.460396,-6.09568,5,1
0.189,-0.466487,-6.09129,5,1
0.19,-0.472574,-6.08686,5,1
0.191,-0.478657,-6.08237,5,1
0.192,-0.484735,-6.07782,5,1
0.193,-0.490808,-6.07323,5,1
0.194,-0.496876,-6.06858,5,1
0.195,-0.50294,-6.06388,5,1
0.196,-0.508999,-6.05913,5,1
0.197,-0.515054,-6.05432,5,1
0.198,-0.521103,-6.04947,5,1
0.199,-0.527148,-6.04456,5,1
0.2,-0.533187,-6.0396,5,1
0.201,-0.539222,-6.03459,5,1
0.202,-0.545251,-6.02953,5,1
0.203,-0.551276,-6.02442,5,1
0.204,-0.557295,-6.01926,5,1
0.205,-0.563309,-6.01405,5,1
0.206,-0.569318,-6.00879,5,1
0.207,-0.575321,-6.00347,5,1
0.208,-0.581319,-5.99811,5,1
0.209,-0.587312,-5.99271,5,1
0.21,-0.593299,-5.98725,5,1
0.211,-0.599281,-5.98174,5,1
0.212,-0.605257,-5.97619,5,1
0.213,-0.611228,-5.97058,5,1
0.214,-0.617193,-5.96493,5,1
0.215,-0.623152,-5.95923,5,1
0.216,-0.629106,-5.95349,5,1
0.217,-0.635053,-5.94769,5,1
0.218,-0.640995,-5.94185,5,1
0.219,-0.646931,-5.93597,5,1
0.22,-0.652861,-5.93003,5,1
0.221,-0.658785,-5.92405,5,1
0.222,-0.664703,-5.91803,5,1
0.223,-0.670615,-5.91196,5,1
0.224,-0.676521,-5.90584,5,1
0.225,-0.682421,-5.89968,5,1
0.226,-0.688314,-5.89348,5,1
0.227,-0.694201,-5.88722,5,1
0.228,-0.700082,-5.88093,5,1
0.229,-0.705957,-5.87459,5,1
0.23,-0.711825,-5.86821,5,1
0.231,-0.717687,-5.86178,5,1
0.232,-0.723542,-5.85531,5,1
0.233,-0.729391,-5.8488,5,1
0.234,-0.735233,-5.84224,5,1
0.235,-0.741069,-5.83565,5,1
0.236,-0.746898,-5.82901,5,1
0.237,-0.75272,-5.82232,5,1
0.238,-0.758536,-5.8156,5,1
0.239,-0.764345,-5.80884,5,1
0.24,-0.770147,-5.80203,5,1
0.241,-0.775942,-5.79518,5,1
0.242,-0.78173,-5.7883,5,1
0.243,-0.787512,-5.78137,5,1
0.244,-0.793286,-5.7744,5,1
0.245,-0.799053,-5.7674,5,1
0.246,-0.804814,-5.76035,5,1
0.247,-0.810567,-5.75326,5,1
0.248,-0.816313,-5.74614,5,1
0.249,-0.822052,-5.73898,5,1
0.25,-0.827784,-5.73178,5,1
0.251,-0.833508,-5.72454,5,1
0.252,-0.839226,-5.71726,5,1
0.253,-0.844936,-5.70995,5,1
0.254,-0.850638,-5.7026,5,1
0.255,-0.856333,-5.69521,5,1
0.256,-0.862021,-5.68778,5,1
0.257,-0.867702,-5.68032,5,1
0.258,-0.873374,-5.67283,5,1
0.259,-0.87904,-5.66529,5,1
0.26,-0.884697,-5.65773,5,1
0.261,-0.890348,-5.65012,5,1
0.262,-0.89599,-5.64249,5,1
0.263,-0.901625,-5.63481,5,1
0.264,-0.907252,-5.62711,5,1
0.265,-0.912871,-5.61937,5,1
0.266,-0.918483,-5.61159,5,1
0.267,-0.924087,-5.60379,5,1
0.268,-0.929683,-5.59595,5,1
0.269,-0.935271,-5.58807,5,1
0.27,-0.940851,-5.58017,5,1
0.271,-0.946423,-5.57223,5,1
0.272,-0.951987,-5.56426,5,1
0.273,-0.957544,-5.55626,5,1
0.274,-0.963092,-5.54823,5,1
0.275,-0.968632,-5.54016,5,1
0.276,-0.974164,-5.53207,5,1
0.277,-0.979688,-5.52395,5,1
0.278,-0.985204,-5.51579,5,1
0.279,-0.990711,-5.50761,5,1
0.28,-0.996211,-5.49939,5,1
0.281,-1.0017,-5.49115,5,1
0.282,-1.00718,-5.48288,5,1
0.283,-1.01266,-5.47458,5,1
0.284,-1.01813,-5.46625,5,1
0.285,-1.02358,-5.45789,5,1
0.286,-1.02903,-5.44951,5,1
0.287,-1.03447,-5.44109,5,1
0.288,-1.03991,-5.43265,5,1
0.289,-1.04533,-5.42419,5,1
0.29,-1.05075,-5.41569,5,1
0.291,-1.05615,-5.40717,5,1
0.292,-1.06155,-5.39863,5,1
0.293,-1.06694,-5.39006,5,1
0.294,-1.07232,-5.38146,5,1
0.295,-1.0777,-5.37284,5,1
0.296,-1.08306,-5.36419,5,1
0.297,-1.08842,-5.35552,5,1
0.298,-1.09376,-5.34682,5,1
0.299,-1.0991,-5.3381,5,1
0.3,-1.10443,-5.32936,5,1
0.301,-1.10975,-5.32059,5,1
0.302,-1.11506,-5.3118,5,1
0.303,-1.12037,-5.30299,5,1
0.304,-1.12566,-5.29415,5,1
0.305,-1.13095,-5.2853,5,1
0.306,-1.13622,-5.27642,5,1
0.307,-1.14149,-5.26752,5,1
0.308,-1.14675,-5.25859,5,1
0.309,-1.152,-5.24965,5,1
0.31,-1.15724,-5.24068,5,1
0.311,-1.16247,-5.2317,5,1
0.312,-1.16769,-5.22269,5,1
0.313,-1.17291,-5.21367,5,1
0.314,-1.17811,-5.20462,5,1
0.315,-1.18331,-5.19555,5,1
0.316,-1.18849,-5.18647,5,1
0.317,-1.19367,-5.17737,5,1
0.318,-1.19884,-5.16824,5,1
0.319,-1.204,-5.1591,5,1
0.32,-1.20915,-5.14995,5,1
